Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
China,CHN,2021,78.25140892499367,18.120062657048432,52.65894615543432,11.316569963060136
China,CHN,2022,74.70570934957617,17.765584361779148,49.44868337698298,11.14419970552404
China,CHN,2023,72.67678885845345,15.803640803011788,49.36714161016279,11.12328257255152
Colombia,COL,2021,23.238309577371385,5.179411361083676,17.091480018875185,1.2115166457867328
Colombia,COL,2022,22.415220772082822,4.798744203707593,16.63831581682576,1.2169289067122273
Colombia,COL,2023,22.0962392218409,4.401575149943022,16.699475406298223,1.2354045133966731
Comoros,COM,2021,97.48803149016648,81.01889748713413,15.937790126218914,0.8547761002549542
Comoros,COM,2022,95.4583992868599,78.9703225527392,15.957315325850752,0.8477318417811377
Comoros,COM,2023,93.98944768869382,77.29998015329122,16.158609453462063,0.8435481370153114
Congo,COG,2021,118.0017834474822,66.2707358919882,49.24761134933027,3.881511195321453
Congo,COG,2022,114.19805232623862,62.05608329015196,49.71577043706647,3.7733620153529936
Congo,COG,2023,113.00518030689967,59.20779607203235,51.3553045554795,3.7822229071709943
Costa Rica,CRI,2021,20.619265411101,3.741214849782966,16.08741076707351,0.9920295997761605
Costa Rica,CRI,2022,21.09057695789467,3.804433489272751,16.417722955632456,1.079662193525807
Costa Rica,CRI,2023,21.21308224391965,3.6401533540643727,16.666095425775104,1.1269900586622588
Cote d'Ivoire,CIV,2021,127.60537718702524,103.6539523090064,23.19892400261362,1.2563702423150471
Cote d'Ivoire,CIV,2022,123.02454755770036,99.91100085382836,22.355167316530743,1.256311887828025
Cote d'Ivoire,CIV,2023,118.8365593679245,96.25337526474658,21.82017137577354,1.2568754782829
Croatia,HRV,2021,37.53962033602016,5.325944323417652,29.94664164389749,2.879622275451274
Croatia,HRV,2022,34.23502573085698,4.964761333721521,27.127956436924293,2.696853788786969
Croatia,HRV,2023,33.552074585083204,4.654715054769408,26.803493217711654,2.6369353023718074
Cuba,CUB,2021,33.88404053460197,1.934678211598677,30.76479603089065,1.4914265618658995
Cuba,CUB,2022,32.94971454020374,1.8292168476906925,29.96734445066028,1.4445710738417383
Cuba,CUB,2023,32.46048101808931,1.7220087689204295,29.610628742192272,1.4096372200043907
Cyprus,CYP,2021,27.608607695444384,0.200410228820727,25.01751325258554,2.999339230602119
Cyprus,CYP,2022,25.96171468056219,0.2049058999270771,23.36870549082525,2.954873381256553
Cyprus,CYP,2023,25.95910461328527,0.1901993651130686,23.39594606492024,2.943205787235545
Czech Republic,CZE,2021,32.41577614263114,1.0279276016565455,29.577596730308297,2.24769713851017
Czech Republic,CZE,2022,30.791526739212102,1.02115785177137,27.980942326050425,2.2019520861458943
Czech Republic,CZE,2023,30.15992328169316,0.9588610421030938,27.47477475508482,2.123831686842625
Democratic Republic of Congo,COD,2021,148.4421017274969,117.2770255492409,27.720476323840096,6.4009153526569245
Democratic Republic of Congo,COD,2022,145.19971156704574,113.39155855036532,28.29788198078124,6.475968587274874
Democratic Republic of Congo,COD,2023,142.68032992575937,110.90576831144364,28.207917435390648,6.548576346651862
Denmark,DNK,2021,19.891194178420136,0.1102202823469835,17.381600857521246,2.819238274169601
Denmark,DNK,2022,19.31916137636146,0.1095412380381171,16.78729836223031,2.8284532428514377
Denmark,DNK,2023,19.324887260097903,0.1036955248849978,16.775030036155087,2.8546661158342603
Djibouti,DJI,2021,83.49410648928294,35.26479575926464,46.81545009925676,2.085631423105995
Djibouti,DJI,2022,82.4769523955055,33.953360296274674,47.03830554619208,2.1847122440730344
Djibouti,DJI,2023,80.69632489595126,32.24147875520848,46.90101672940823,2.274099614123912
Dominica,DMA,2021,38.88421399204624,7.372724434383253,31.511475431234192,1.82812190455e-05
Dominica,DMA,2022,38.23456970186678,7.083231774969903,31.15131928928161,2.44441869361e-05
Dominica,DMA,2023,37.6752584195648,6.837761310585372,30.837473231334183,3.12914332437e-05
Dominican Republic,DOM,2021,38.94723638367552,12.507712955580743,25.54160079617553,1.1136634399817402
Dominican Republic,DOM,2022,37.686763633898266,12.02749537507732,24.73403077349781,1.1359708769348928
Dominican Republic,DOM,2023,36.97274516490145,11.253908442928724,24.79712075938224,1.129399653348239
East Asia,,2021,78.32763846670636,18.862092037374968,51.95192623843152,11.394538736074333
East Asia,,2022,74.83217256928376,18.51858431251805,48.78088422682391,11.2235651621993
East Asia,,2023,72.824140571331,16.577136319482356,48.702265366605324,11.198602785766
Eastern Europe,,2021,51.76034686014343,1.752001359036277,48.81856375758816,1.4653506553341449
Eastern Europe,,2022,49.22588929992023,1.6345652575339955,46.42203597463075,1.431986082973763
Eastern Europe,,2023,47.54567793618823,1.5050157794777728,44.88414817994821,1.414941988435008
Eastern Sub-Saharan Africa,,2021,109.63781931105744,89.92156035342849,18.52785862961061,2.103344714711429
Eastern Sub-Saharan Africa,,2022,107.1505325447844,87.21901596722924,18.73241901831414,2.108758902300742
Eastern Sub-Saharan Africa,,2023,105.19513510973374,85.13807859478011,18.847992668119357,2.1162967196426505
Ecuador,ECU,2021,28.041828651523147,3.5180012474034985,23.951764445194037,0.7056033197947237
Ecuador,ECU,2022,27.553637367708887,3.3566206381029278,23.622038753349624,0.704972600229583
Ecuador,ECU,2023,27.135242910048543,3.113057544287344,23.44804757309794,0.7036519864723022
